Question,Link,Answer
How do I create a discussion as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-create-a-discussion-as-an-instructor/ta-p/1029,"As an instructor, you can create a discussion for your course. This lesson outlines a variety of options to choose from in order to customize a discussion for your course. Note: Discussions can be graded or ungraded. If a student attaches a file to an ungraded discussion, the file size counts toward the student's storage quotas. However, attachments added to graded discussions do not count toward the student's storage quotas. In Course Navigation, click the Discussions link. Click the Add Discussion button. Add a title for your discussion in the Topic Title field [1]. To add discussion content, use the Rich Content Editor [2]. The Rich Content Editor includes a word count display below the bottom right corner of the text box [3].  If you want to create a section-specific discussion that is not graded, click the Post to drop-down menu [4]. You can select one or multiple sections. To create a graded section-specific discussion, use the discussion options. Note: When a document is uploaded to the Rich Content Editor from a quiz, the file is saved to the Uploaded Media folder in Course Files and defaults to hidden status. Students can view the file when the quiz is made available to them. Learn more about file visibility.   To add an attachment to your discussion, click the Choose File button [1]. If required by your institution, you will need to select usage right settings for your attachment. To manage usage right settings, click the Set usage rights icon [2]. In the Usage Right drop-down menu [3], select one of five usage rights. If you are an instructor and are not sure which usage right applies to your file, please consult your institutional admin for guidance: If known, enter the copyright holder information in the Copyright Holder field [4]. To save your usage right settings, click the Save button [5]. You can edit usage right settings by clicking the Set usage rights icon. By default, discussions are created as focused discussions. To create a threaded discussion, click the Allow threaded replies checkbox [1]. To require users to reply to the discussion before they can see any other replies, click the Users must post before seeing replies checkbox [2]. To enable a discussion podcast feed, click the Enable podcast feed checkbox [3]. To allow students to like discussion replies, click the Allow liking checkbox [4]. To add an ungraded discussion to the student to-do list, click the Add to student to-do checkbox [5]. Student to-do items display in the course calendar, in the student-specific List View Dashboard, and in the global and course home page to-do lists. Graded discussions automatically display in a student's to-do list. To make the discussion a group discussion, click the This is a Group Discussion checkbox [6]. To make your discussion available on a specific date or during a specific date range using availability dates, enter the dates in the Available From and Until fields [7], or click the calendar icons to select dates. If you create a graded discussion, the Available From and Until dates can be set in the Assign field. Before the Available From date, students will only be able to view the discussion title. After the Until date, students can view the discussion topic and all responses but cannot add or edit any responses.  To create a graded discussion, click the Graded checkbox. If this option is selected, additional options will be added to the page, where you can assign graded discussions to everyone, individual students, course sections, or course groups.  Note: If you want to create a graded discussion and you have added sections in the Post To field, the Graded option will be unavailable. You must remove the sections from the Post To field before selecting this option. You will be able to add sections as part of the graded discussion options. If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. When your discussion is saved in a draft state, you can return to the page and publish it at any time by clicking the Publish button in the classic Discussions interface [1] or the Publish icon in the Discussions Redesign interface [2]. "
How do I create a group discussion in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-create-a-group-discussion-in-a-course/ta-p/911,"Groups are a subset of a course with a course-like environment including their own Calendar, Discussion board, and Collaboration tools. Only students added to a group have permission to see and use the respective tools within the group. A group discussion assignment creates an identical discussion topic in each group category. When students reply to the discussion topic they do so within their group environment, which is linked to the course from which the assignment was created. If you prefer to create a group discussion for grading, learn how to create graded group discussions.  Note: You will need to create group sets and groups before setting up a group discussion assignment.  In Course Navigation, click the Discussions link. Click the Add Discussion button. Enter a discussion title in the Topic Title field [1].  Add discussion content using the Rich Content Editor [2].  In the discussion options, select the This is a Group Discussion checkbox [3]. To select an existing group set, click the Group Set drop-down menu [1]. To create a new group category, click the New Group Category button [2]. If you chose to create a new group category, enter the group set and group information in the Create Group Set modal. Type the group set name in the Group Set Name field [1]. If you want to allow for self sign-up for groups in the group set, check the Allow self sign-up checkbox [2]. Select a group structure option in the Group Structure section [3]. You can choose to split students into a set number of groups [4], split students into groups with a set number of students per group [5], or create groups later on the People page [6]. When you're finished, click the Save button to create the group set and groups [7]. You can refer to our group guides for more information about creating and editing group sets and creating groups. To make your discussion available on a specific date or during a specific date range, enter the dates in the Available From and Until fields [7], or click the calendar icons to select dates. These dates apply to all users. By default, these fields are left blank and the discussion can be viewed throughout the entire course.  Note: These fields only apply for non-graded discussions; If you create a graded group discussion, these date fields do not apply. If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. When your discussion is saved in a draft state, you can return to the page and publish it at any time by clicking the Publish button. View the discussion. A Teacher or TA will see links to each group. Click the group name to open the group discussion and view replies to the topic. If your course has Discussions Redesign enabled, you can view the discussion in Discussions Redesign. To open the group discussion, click the Groups icon [1], then click the name of the group you want to open [2]. When students open the discussion, they will be taken to the Discussions page within their specified project group to complete the assignment. Note: Discussion posts cannot be made anonymously."
How do I duplicate a discussion in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-duplicate-a-discussion-in-a-course/ta-p/756,"You can duplicate a discussion in your course. When a discussion is duplicated, the word Copy is added to the end of the assignment name. The person who copied the discussion is shown as the author of the discussion and is immediately subscribed to the discussion, and the date the discussion was copied displays as the last posted date. Duplicating a discussion defaults the copied discussion to an unpublished status. All items in the discussion are duplicated including the name, description, and options. In graded discussions, duplication exceptions include the following situations: In Course Navigation, click the Discussions link. Locate the discussion you want to duplicate and click the Options icon [1]. Click the Duplicate link [2]. View the discussion duplicate in your course. Note: If applicable to your course, the Discussions page displays any Blueprint Course icons after the page is refreshed."
How do I publish or unpublish a discussion as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-publish-or-unpublish-a-discussion-as-an-instructor/ta-p/590,"As an instructor, you can publish or unpublish a discussion in a course. Unpublished content is invisible to students, and graded discussions are excluded from grade calculations. If the steps in this lesson do not match what is displayed in your course, learn how to publish and unpublish discussions in the Discussions Redesign interface. Note: If you use Modules in your course and add a Discussion to a Module, please be aware that the state of the Module overrides the state of all module items. You may want to consider leaving Discussions unpublished until you are ready to publish the entire Module. For more information please see the Modules Draft State lesson. In Course Navigation, click the Discussions link. On the Discussions index page, you can view the status of each discussion. Green icons indicate the discussion is published [1]. Gray icons indicate unpublished discussions [2]. You can change the status of a discussion by toggling the published and unpublished icons. To publish a discussion, click the discussion's unpublished icon. To unpublish a discussion, click the discussion's published icon [1]. Discussions with student submissions cannot be unpublished. The published icon for these discussions is lighter in color to indicate discussions that cannot be unpublished [2]. Within individual discussions, the discussion status is shown next to the discussion settings. To publish a discussion, click the discussion’s Publish button. The button will change from gray to green. To unpublish a discussion, hover over the published button for the content item and view its status. If the discussion can be unpublished, the hover text will confirm you want to unpublish the discussion, and the button will change from green to red. Click the button to confirm.  Content with student submissions cannot be unpublished.  Students cannot see any of the actions involved with publish status, such as published and unpublished icons and setting icons. Students will only see published discussions."
How do I copy a discussion to another course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-copy-a-discussion-to-another-course/ta-p/1084,"As an instructor, you can copy individual discussions in one course directly into any active course in which you are enrolled. You can also send discussions to other instructors at your institution. When you copy a discussion, any assets within that discussion topic (images, files, etc.) will be included in your discussion copy, replies are not included. Notes:   In Course Navigation, click the Discussions link. Locate the discussion you wish to copy, then click the discussion Options icon [1]. Select the Copy To... option [2]. Type the course name or course code in the Select a Course field [1].  Search results are sorted by term, with the default term first, followed by most recent term start date. Results for each term are sorted alphabetically and display the course name [2], course code [3], and term name [4]. Select the course into which you want to copy the discussion [5]. Note: The Select a Course drop-down menu only displays courses in which you have an active or future enrollment. Discussions cannot be copied to a concluded course. When copying content, a message displays explaining that importing the same course content more than once overwrites any existing content in the course. If you wish, you can copy the discussion into a specific module and location within a course.  Click or type a module name in the Select a Module field [1]. Then select the module for the copied discussion. To select a location within the module, click the Place drop-down menu [2]. You can select to copy the discussion to the top of the module, before or after a specific module item, or at the bottom of a module.   Click the Copy button.  Canvas displays a notification when a discussion copies successfully [1].  When finished, click the Close icon [2] or the Close button [3].  Copied discussions display on the Discussions Index Page for the course into which it copied."
How do I send a discussion to another instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-send-a-discussion-to-another-instructor/ta-p/1086,"As an instructor, you can share individual discussions in your course with other instructors at your institution. You can also copy an individual discussion into another course. When you share a discussion, any assets within that discussion (images, files, etc.) will be included in the shared file. Notes:   In Course Navigation, click the Discussions link. Locate the discussion you wish to send, then click the discussion Options icon [1]. Select the Send To... option [2]. To send your assignment to another instructor, click or type in the Send to field [1]. Then click the name of the instructor to receive your assignment [2].  Note: You can send the assignment to multiple instructors at one time.  You can view all selected recipients in the Send to field [1]. To remove a recipient, click the Remove icon [2]. Note: To share the discussion to yourself, add your name to the Send to field. Click the Send button.  Canvas displays a notification when content sends successfully. When an instructor receives shared content, a badge displays on the users's Account icon [1] and in the Shared Content link [2]. Learn how to manage received content. "
How do I edit a discussion in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-edit-a-discussion-in-a-course/ta-p/1075,"Once you've created a discussion in your course, you can edit the discussion details. You can update the discussion title and content, and you can modify the discussion options.  In Course Navigation, click the Discussions link. Click the name of the discussion. Click the Edit button.  To edit a discussion in Discussions Redesign, click the Options icon [1] and click the Edit option [2]. To edit the discussion, use the Rich Content Editor. You can also edit other discussion options. Click the Save button. Note: If you are editing an unpublished discussion and want to publish it, click the Save & Publish button."
How do I delay posting a discussion until a specified date in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-delay-posting-a-discussion-until-a-specified-date-in-a/ta-p/661,"You can delay posting a discussion topic until a specific date by changing a setting in your discussion. This lesson shows how to set posting dates, also referred to as availability dates, for non-graded discussions.  Note: In graded discussions, the availability date fields shown in this lesson do not apply. Graded discussions include separate availability dates that are set when assigning a discussion to specific course users. In Course Navigation, click the Discussions link. Click the Add Discussion button. Enter a title for your discussion in the Topic Title field [1]. To add discussion content, use the Rich Content Editor [2].  You can also select discussion options [3].  To make your discussion available on a specific date or during a specific date range, enter the dates in the Available From and Until fields, or click the calendar icons to select dates.  You are not required to enter dates in both of these fields, so if you want to delay your posting but do want your post to appear indefinitely, you can leave the Until field blank. Note: These fields only apply for non-graded discussions; If you create a graded discussion, these date fields do not apply.  If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. When your discussion is saved in a draft state, you can return to the page and publish it at any time by clicking the Publish button in the classic Discussions interface [1] or the Publish icon in the Discussions Redesign interface [2].  View the discussion and the posting date. Students do not have access to locked discussions until the availability date. They will not see locked discussions on the Discussions Index Page."
How do I move or reorder a discussion in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-move-or-reorder-a-discussion-in-a-course/ta-p/1262,"You can move or reorder pinned discussions in the Pinned Discussions section. You can manually drag and drop the discussion, or you can use the Move To option, which is also accessible for keyboard users.  Note: Only discussions in the Pinned Discussions section can be reordered manually. Other sections are automatically ordered by recent activity date. In Course Navigation, click the Discussions link. You can use the drag and drop option to reorder pinned discussions. Click and drag the discussion to the desired location within the section. Drop the discussion by releasing the mouse. You can also use the Move To option to reorder a pinned discussion. Click the Options icon [1] and select the Move To... link [2]. In the Move Discussion sidebar, click the Place drop-down menu [1]. Select the placement of the discussion you are moving [2]. You can move the discussion so it is located at the top of the section, before a specific discussion, after a specific discussion, or at the bottom of the section. If you selected the Before or After option, click the second drop-down menu [1]. Select the discussion that should be before or after the discussion you are moving, as indicated by the option selected in the previous menu [2].  If you want to move the discussion to another location, change the sidebar placement options again.  Click the Move button."
How do I assign a graded discussion to everyone in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-assign-a-graded-discussion-to-everyone-in-a-course/ta-p/1019,"By default, graded discussions you create in your course will be assigned to everyone. You can specify a due date and availability dates that apply to everyone. You can also assign a graded discussion to an individual student, course section, or course group. When Multiple Grading Periods are enabled in a course, assignments are also respected against closed grading periods. In Course Navigation, click the Discussions link.  Click the Add Discussion button. Enter a topic title [1] and discussion details [2].  Click the Graded checkbox. Enter the number of points possible [1]. Select the Grading Type [2] and Assignment Group [3], and assign Peer Reviews [4], if any. By default, Canvas will assign your graded discussion for everyone in your course. In the date fields, add your preferred date(s) with the following options: Notes:  If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. If you submit an invalid string of due dates and try to save the discussion, Canvas generates an error notification. Such invalid entries include not unlocking the discussion before it is due, not placing the due date inside the range of availability dates, or assigning a date that is outside the course or term dates. Correct the date and then update the discussion again. Notes: View the due date assigned to the discussion in the classic Discussions interface [1] or the Discussions Redesign interface [2]. On the Discussions Index Page, the discussion shows the dates assigned to the discussion. "
How do I assign a graded discussion to an individual student?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-assign-a-graded-discussion-to-an-individual-student/ta-p/719,"When creating or editing a graded discussion, you can assign a graded discussion to a specific student. Availability date functionality is still available for each graded discussion. Only the student(s) specified in the discussion details can view the graded discussion. When using differentiated assignments with the Gradebook, the graded discussion appears as a column for all students, but grade cells are grayed out for students who have not been included in the discussion. Grades cannot be assigned for students who have not been included in the graded discussion, and graded discussions that are not assigned to a student are not factored into overall grades. When Multiple Grading Periods are enabled in a course, assignments are also respected against closed grading periods. Note: If your course is using MasteryPaths, you do not have to manually assign graded discussions to individual students. Learn how to assign assignments to MasteryPaths. In Course Navigation, click the Discussions link. Click the Add Discussion button. Enter a topic title [1] and discussion details [2].  Click the Graded checkbox. Enter the number of points possible [1]. Select the Grading Type [2] and Assignment Group [3], and assign Peer Reviews [4], if any.  By default, Canvas will set your assignment for everyone in your course. To create the assignment for a specific student, click the Everyone remove icon [1], then start to type in the name of a student [2]. Search fields are dynamic, and you can search for students by first or last name. When the full name appears, click the name. Lists are not scrollable.  You can include more than one student in the To field as long as the students are to be assigned the same due and availability dates. In the date fields, add your preferred date(s) with the following options: Note: Beneath the Due Date and Availability date fields, Canvas will display the time zone date and time according to context. If you manage courses in a time zone other than your local time zone and create or edit a due date for a graded discussion, the course and local times are displayed for reference. To add another student with a different due date and availability dates, click the Add button.  You can also delete additional dates by clicking the remove icon next to the appropriate date. If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. If you do not add course sections to the assignment, you will see a warning message asking you if you want to add those sections.  You can click the Continue button [1] if you don't want to add any sections to the assignment, or click the Go Back button [2] to go back and add additional sections.  Note: This warning message will not appear if Everyone or all course sections are assigned to the assignment. If you submit an invalid string of due dates and try to save the graded discussion, Canvas generates an error notification. Such invalid entries include not unlocking the discussion before it is due, not placing the due date inside the range of availability dates, or assigning a date that is outside the course or term dates.  Correct the date and then update the discussion again.  Notes: To view users and due dates for the discussion, click the Show Due Dates link. View the dates assigned to the graded discussion. To view availability and due dates for a discussion in Discussions Redesign, click the Show Due Dates link. View the dates assigned to the graded discussion. On the Assignments Page, the graded discussion shows there are multiple users and dates assigned to the discussion. Hover over the text to view date availability or due dates. "
How do I assign a graded discussion to a course section?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-assign-a-graded-discussion-to-a-course-section/ta-p/915,"When creating or editing a graded discussion, you can assign a graded discussion to a specific course section. Availability date functionality is still available for each graded discussion. Only the section(s) specified in the discussion details can view the graded discussion. When using differentiated assignments with the Gradebook, the graded discussion appears as a column for all students, but grade cells are grayed out for students who have not been included in the discussion. Grades cannot be assigned for students who have not been included in the graded discussion, and graded discussions that are not assigned to a student are not factored into overall grades.  When Multiple Grading Periods are enabled in a course, assignments are also respected against closed grading periods. In Course Navigation, click the Discussions link. Click the Add Discussion button. Enter a topic title [1] and discussion details [2].  Select the All Sections option in the Post to drop-down. This option allows you to set the discussion as a graded discussion and assign the discussion to course sections in the Assign To section.  Click the Graded checkbox. Enter the number of points possible [1]. Select the Grading Type [2] and Assignment Group [3], and assign Peer Reviews [4], if any.  By default, Canvas will set your assignment for everyone in your course. To create the assignment for a specific section, click the Everyone remove icon [1], then start to type in the name of a section [2]. When the section name appears, click the name. Lists are not scrollable.  You can include more than one section in the To field as long as the section is to be assigned the same due and availability dates. In the date fields, add your preferred date(s) with the following options:   Note: Beneath the Due Date and Availability date fields, Canvas will display the time zone date and time according to context. If you manage courses in a time zone other than your local time zone and create or edit a due date for an assignment, the course and local times are displayed for reference. To add another section with a different due date and availability dates, click the Add button.  You can also delete additional dates by clicking the remove icon next to the appropriate date. If you are ready to publish your assignment, click the Save & Publish button [1]. If you want to create a draft of your assignment and publish it later, click the Save button [2]. If you do not add course sections to the assignment, you will see a warning message asking you if you want to add those sections.  You can click the Continue button [1] if you don't want to add any sections to the assignment, or click the Go Back button [2] to go back and add additional sections.  Note: This warning message will not appear if Everyone or all course sections are assigned to the assignment. If you submit an invalid string of due dates and try to save the assignment, Canvas generates an error notification. Such invalid entries include not unlocking the assignment before it is due, not placing the due date inside the range of availability dates, or assigning a date that is outside the course or term dates.  Correct the date and then update the assignment again.  Notes:  To view users and due dates for the discussion, click the Show Due Dates link. View the dates assigned to the graded discussion. To view due dates and availability dates for a discussion in Discussions Redesign, click the Show Due Dates link. View the dates assigned to the graded discussion. On the Assignments Page, the graded discussion shows there are multiple users and dates assigned to the discussion. Hover over the text to view date availability. "
How do I assign a graded discussion to a course group?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-assign-a-graded-discussion-to-a-course-group/ta-p/1070,"You can create a graded discussion for a course group by using the Group Discussion checkbox. Canvas uses group sets to assign group discussions, and each group within the group set that is assigned to the discussion is required to complete the discussion. Grades for group discussions are assigned to each group member individually. You will need to assign a group set as part of the discussion. You can add an existing group set, or you can create a new group set as part of the assignment and add students to groups later. However, if you create a group set with self sign-up or manual group assignments, you will not be able to use the group set until users have been added to the subgroups. When differentiating groups in graded discussions, students can only view the discussion if they are a member of an assigned group. Otherwise the discussion does not appear in the group's discussions page. Grades cannot be assigned for students who have not been included in the graded discussion, and graded discussions that are not assigned to a student are not factored into overall grades.  You can still view the links to all groups that are in the group set (as with any other group discussion). However, if you do not select a group in the differentiated assignments list, the group does not show a differentiated due date.  When Multiple Grading Periods are enabled in a course, graded discussions are also respected against closed grading periods. Note: Please ensure all students have been added to a group before assigning a group set to the group discussion. If a student is not added to a group and replies to the discussion, the student's reply will be part of the original discussion topic. Replies on the original discussion topic can be viewed by clicking the View the full discussion link in SpeedGrader. In Course Navigation, click the Discussions link. Click the Add Discussion button. Enter a topic title [1] and discussion details [2].  Click the Graded checkbox. Click the This is a Group Discussion checkbox. Click the Group Set drop-down menu to select which groups will be assigned [1] or create a new group category [2]. Note: Groups created by students cannot be used for Group Discussions and do not appear in the drop-down menu.  By default, Canvas will set your discussion for everyone in your course. This option means all users in the course regardless of section will be assigned the assignment. All students will still be assigned to a group based on the previously selected group set. To create the discussion for a specific group in the group set, click the Everyone remove icon [1], then start to type in the name of a group [2]. Search fields are dynamic; when the group name appears, click the name. Lists are not scrollable.  You can include more than one group in the To field, as long as they are to be assigned the same due and availability dates. In the date fields, add your preferred date(s) with the following options:   Note: Beneath the Due Date and Availability date fields, Canvas will display the time zone date and time according to context. If you manage courses in a time zone other than your local time zone and create or edit a due date for a discussion, the course and local times are displayed for reference. To add new Due and Availability Dates for other users in your course, click the Add Date button.  You can also delete additional dates by clicking the remove icon next to the appropriate date. If you are ready to publish your discussion, click the Save & Publish button [1]. If you want to create a draft of your discussion and publish it later, click the Save button [2]. Even when you aren't adding sections, you will see a warning message asking you if you want to add sections.  You can click the Continue button [1] if you don't want to add any other sections to the assignment, or click the Go Back button [2] to go back and add sections.  Note: This warning message will not appear if everyone in the course or all course sections are assigned. If you submit an invalid string of due dates and try to save the assignment, Canvas generates an error notification. Such invalid entries include not unlocking the assignment before it is due, not placing the due date inside the range of availability dates, or assigning a date that is outside the course or term dates.  Correct the date and then update the graded discussion again.  Notes:  View the dates and users assigned to the assignment. To view due dates and availability dates for a discussion in Discussions Redesign, click the Show Due Dates link. View the dates assigned to the graded discussion."
How do I reply to a discussion as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-reply-to-a-discussion-as-an-instructor/ta-p/1110,"You can easily reply to any discussion, threaded or focused. However, the reply process varies depending on the type of discussion. If the steps in this lesson do not match what is displayed in your course, learn how to reply to a discussion in the Discussions Redesign interface. Note: The discussion reply Rich Content Editor includes a word count display below the bottom right corner of the text box. In Course Navigation, click the Discussions link. Click the name of the Discussion. To reply to the main discussion, type your reply in the Reply field.  To enter your reply, add links, photos, equations, and/or media, use the Rich Content Editor [1]. To attach files to your discussion reply, click the Attach link [2].  To post your reply, click the Post Reply button [3]. Note: If you post your discussion response before an attached image finishes uploading, Canvas displays a warning message. Your reply will be posted at the bottom of the discussion reply thread. The border of your post will flash blue indicating it has been newly posted. The dot indicator next to your post will immediately show an outline icon if Canvas automatically marks your posts as read. However, if you manually mark your posts as read, the indicator will remain a solid dot.  In a focused discussion, you can reply to a comment already posted by another student by clicking in the reply field below the post. To enter your reply, add links, photos, equations, and/or media, use the Rich Content Editor [1]. To attach files to your discussion reply, click the Attach link [2].  To post your reply, click the Post Reply button [3]. Note: If you post your discussion response before an attached image finishes uploading, Canvas displays a warning message. Your reply will be posted at the bottom of the discussion reply thread. The border of your post will flash blue indicating it has been newly posted. The dot indicator next to your post will immediately turn white if Canvas automatically marks your posts as read. However, if you manually mark your posts as read, the indicator will remain blue.  In a threaded discussion, you can reply to a comment already posted by another student. Locate the post you want to reply to and click the reply icon. To enter your reply, add links, photos, equations, and/or media, use the Rich Content Editor [1]. To attach files to your discussion reply, click the Attach link [2].  To post your reply, click the Post Reply button [3]. Note: If you post your discussion response before an attached image finishes uploading, Canvas displays a warning message. Your reply will be posted at the bottom of the discussion reply thread. The border of your post will flash blue indicating it has been newly posted. The unread icon next to your post will immediately change to the read icon if Canvas automatically marks your posts as read. However, if you manually mark your posts as read, it will show the unread icon until you manually mark the post as read. "
How do I view and sort discussion replies as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-view-and-sort-discussion-replies-as-an-instructor/ta-p/908,"You can view all replies in a discussion by scrolling or searching content. Focused discussion replies are shown in hierarchal order; threaded discussions are hierarchal, collapsable, and expandable. You can also search for discussion replies and copy a direct link to a discussion reply. If the steps in this lesson do not match what is displayed in your course, learn how to view and sort discussion replies in the Discussions Redesign interface. In Course Navigation, click the Discussions link. Click the name of the discussion. In a discussion, you have several options to view and sort discussions. Use the search field [1] to search for replies or specific authors. To filter by unread replies, click the Unread button [2]. To view deleted replies, click the Show button [3]. You can also collapse and expand all discussion replies [4]. To subscribe to a discussion, click the Subscribe button [5]. Subscribing to a discussion allows you to follow the discussion and receive notifications as set in your notification settings. You are automatically subscribed to any discussions you reply to. When you create a discussion, you are also automatically subscribed to the discussion. If you are subscribed, the button will have a green background. To unsubscribe, click the Subscribe button and the background will turn gray.  To edit the discussion topic, click the Edit button [6]. To open options for the discussion, click the Options icon [7]. Options allows you to mark all existing posts (replies) as read, delete the discussion, and close the discussion for comments. If your discussion is graded, you can view the rubric for the discussion, if any, as well as access SpeedGrader to grade the discussion.  You can view how many unread and replies are in a thread [8]. The number on the left indicates unread replies, while the number on the right indicates the total number of replies. Note: The Discussions page supports keyboard shortcuts. To view a window with a list of keyboard navigation shortcuts, press Alt+F8 (on a PC keyboard) or Option+F8 (on a Mac keyboard) simultaneously on your keyboard. If your discussion is a graded discussion, you can view the discussion the same way as regular discussions. However, you can view the number of points the discussion is worth [1], and if there is a due date [2]. The Options icon [3] will show the rubric for the graded discussion, if any, as well as a link to SpeedGrader. If a discussion is a group discussion, you can view the groups that have access to the discussion. To access and view the group discussion, click the group links.  Group discussions only appear for students if they are a member of the group.  Discussion replies are shown in order of post date. In discussion replies, the unread icon indicates the reply is new and unread [1]. The read icon indicates a reply is read [2]. When you navigate away from the discussion or refresh the page, Canvas automatically marks the replies as read. After Canvas has changed the reply status, you can manually mark discussion replies as read or unread at any time.  You can also change your Discussion Settings so you can manually mark discussion replies as read. Threaded Discussions are discussions with replies within replies. In addition to post date, replies are shown in hierarchal order, with replies naturally indented to indicate when a student replies to another student's reply.  When viewing threaded discussion replies, collapse and expand individual threaded discussions by hovering over the top of the white box containing the entire reply [1]. When a threaded discussion reply is collapsed, you can view the reply indicators showing the number of unread and total replies [2].  If you allow students to like replies in a discussion, a Like icon appears next to each reply in the discussion. Blue icons indicate replies that you've liked. The number of total likes also appears next to the icon. If a discussion includes a reply from an inactive student, a label displays next to the student's name. Inactive student graded discussions can still be graded in SpeedGrader, but students do not receive any notifications about their discussion and cannot view course grades. To search for a discussion reply, enter any term in the Search field [1]. Search results include matches for user names [2] and reply text [3]. To clear search results and view the reply as part of the entire discussion, click the View in discussion link [1]. To copy a direct link to the discussion reply, right click the View in discussion link and select the Copy Link Address option [2]. Each discussion reply has its own options menu. In original discussion replies, you can return to the main discussion topic by clicking the Go to Topic link [1].  In threaded discussions, if you are viewing a reply within a reply, return to the original reply by clicking the Go to Parent link [2]. To edit or delete the reply, click the Edit or Delete links [3]. Graded discussions also include an Open in SpeedGrader link to grade the discussion replies. To reply to a discussion, reply to the main discussion topic by clicking the Reply field [1]. If your discussion is threaded, you can reply to any other post in the discussion by clicking the Reply link [2]."
How do I change discussion settings to manually mark discussion replies as read as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-change-discussion-settings-to-manually-mark-discussion/ta-p/1287,"In discussion replies, a blue dot indicates the reply is new and unread. A white dot indicates a reply is read. When you navigate away from the discussion or refresh the page, the blue dots will change to white dots indicating the replies are read.  You can tell Canvas not to automatically mark your discussion replies as read so that you can manually control which replies you haven't viewed. Your selection for this option will apply to the Discussions settings for all of your courses. By default, manually marking replies as read is turned off.  You can manually mark discussion replies as read or unread at any time. In Course Navigation, click the Discussions link. Click the Settings icon. Click the Manually Mark Replies as Read checkbox. Note: Selecting this option will require you to manually mark replies as read for all of your courses. Click the Save Settings button."
How do I mark discussion replies as read or unread as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-mark-discussion-replies-as-read-or-unread-as-an/ta-p/1050,"By default, as you read new discussion posts, Canvas will mark them as read (changing the indicators from blue to white) as you scroll down the page. However, you can manually mark each posts back to a read or unread state.  You can tell Canvas not to automatically mark all your posts as read in your Discussion settings.  If the steps in this lesson do not match what is displayed in your course, learn how to mark discussion replies as read or unread in the Discussions Redesign interface. Note: Once a post's state is manually changed, the post will not change states (become read or unread) until you manually change it again. In Course Navigation, click the Discussions link. Click the discussion you want to view.  The read icon indicates the reply has been read [1]. The unread icon indicates a reply is new or unread [2]. To change a read post to unread, click the read icon next to the post you wish to change.  View the post now marked as unread.  To change an unread post to read, click the unread icon next to the post you wish to change. View the post now marked as read.  Note: If a post's state is manually changed, the post will not change states (become read or unread) unless you manually change it again."
How do I like a reply in a course discussion as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-like-a-reply-in-a-course-discussion-as-an-instructor/ta-p/1288,"If you have allowed liking for a course discussion, you can like discussion replies. If the steps in this lesson do not match what is displayed in your course, learn how to like replies in the Discussions Redesign interface. In Course Navigation, click the Discussions link. Click the name of the discussion. Locate the reply and click the Like icon. The Like icon will change color, indicating you have liked the reply [1]. The Like icon also displays the total number of times a reply has been liked [2]."
